date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:21	128844/128844	---M--	200	added ('OK')	image/jpeg	etag:f8e3a8c49c9ecd046277cec5a864067c	http://trystack.mediumra.re/img/education-5.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/education-5.jpg	(from http://trystack.mediumra.re/home-education.html)
23:05:24	159737/159737	---M--	200	added ('OK')	image/jpeg	etag:b5ae627750cd2aea33b31119d97b4bd3	http://trystack.mediumra.re/img/education-4.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/education-4.jpg	(from http://trystack.mediumra.re/home-education.html)
23:05:26	30190/30190	---M--	200	added ('OK')	image/jpeg	etag:9ed1364328b3dcb09af807f86c18ebf2	http://trystack.mediumra.re/img/conference-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/conference-1.jpg	(from http://trystack.mediumra.re/home-event.html)
23:05:31	187211/187211	---M--	200	added ('OK')	image/jpeg	etag:d78800ed0cffc2d320646976b518c2ab	http://trystack.mediumra.re/img/education-6.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/education-6.jpg	(from http://trystack.mediumra.re/home-education.html)
23:05:33	37134/37134	---M--	200	added ('OK')	image/png	etag:671bc99e55b8d16bab37a393161c917d	http://trystack.mediumra.re/img/avatar-round-1.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/avatar-round-1.png	(from http://trystack.mediumra.re/home-event.html)
23:05:36	75332/75332	---M--	200	added ('OK')	image/jpeg	etag:194e96c001f5356f9e3b113547d8010b	http://trystack.mediumra.re/img/conference-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/conference-2.jpg	(from http://trystack.mediumra.re/home-event.html)
23:05:38	44021/44021	---M--	200	added ('OK')	image/png	etag:63248490813486e26d6b2258d5db0fd3	http://trystack.mediumra.re/img/avatar-round-3.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/avatar-round-3.png	(from http://trystack.mediumra.re/home-event.html)
23:05:41	47578/47578	---M--	200	added ('OK')	image/png	etag:a9cfe272e45d10f368033c6a4472d3b6	http://trystack.mediumra.re/img/avatar-round-2.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/avatar-round-2.png	(from http://trystack.mediumra.re/home-event.html)
23:05:42	160312/160312	---M--	200	added ('OK')	image/jpeg	etag:e1e289a4df83df3dbc6bc4dcb90c8d93	http://trystack.mediumra.re/img/education-7.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/education-7.jpg	(from http://trystack.mediumra.re/home-education.html)
23:05:42	36022/36022	---M--	200	added ('OK')	image/png	etag:16436ef5f9ba371cbaabaf321bc6ad9c	http://trystack.mediumra.re/img/avatar-round-4.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/avatar-round-4.png	(from http://trystack.mediumra.re/home-event.html)
23:05:44	39695/39695	---M--	200	added ('OK')	image/png	etag:f7e9b32952e6b3a075511bb7932d8623	http://trystack.mediumra.re/img/avatar-round-5.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/avatar-round-5.png	(from http://trystack.mediumra.re/home-event.html)
23:05:47	40645/40645	---M--	200	added ('OK')	image/png	etag:4a0a98df15340528840111647ee83c7a	http://trystack.mediumra.re/img/avatar-round-6.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/avatar-round-6.png	(from http://trystack.mediumra.re/home-event.html)
23:05:50	36514/36514	---M--	200	added ('OK')	image/jpeg	etag:d9ef0cc544c774dc293a6dca7919c973	http://trystack.mediumra.re/img/fitness-3.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/fitness-3.jpg	(from http://trystack.mediumra.re/home-fitness.html)
23:06:03	125780/125780	---M--	200	added ('OK')	image/jpeg	etag:25fd30a980d21bbb48a3cc1f4bf3950b	http://trystack.mediumra.re/img/fitness-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/fitness-2.jpg	(from http://trystack.mediumra.re/home-fitness.html)
23:06:06	117000/117000	---M--	200	added ('OK')	image/jpeg	etag:3dcd91d369c6b9b7e404c665143846ae	http://trystack.mediumra.re/img/fitness-4.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/fitness-4.jpg	(from http://trystack.mediumra.re/home-fitness.html)
23:06:23	257096/257096	---M--	200	added ('OK')	image/jpeg	etag:5318659c5ad7bee0c4e463e0b70f4810	http://trystack.mediumra.re/img/fitness-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/fitness-1.jpg	(from http://trystack.mediumra.re/home-fitness.html)
23:06:31	152933/152933	---M--	200	added ('OK')	image/jpeg	etag:6f25b0df8c54e275d66ae28a10a8902b	http://trystack.mediumra.re/img/insurance-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/insurance-2.jpg	(from http://trystack.mediumra.re/home-health-insurance.html)
23:06:31	173716/173716	---M--	200	added ('OK')	image/jpeg	etag:c768e9e446692dc6d8c04eb52b502f4a	http://trystack.mediumra.re/img/insurance-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/insurance-1.jpg	(from http://trystack.mediumra.re/home-health-insurance.html)
23:06:39	311363/311363	---M--	200	added ('OK')	image/jpeg	etag:06af2f81d22d3a89078a52b814c5cae8	http://trystack.mediumra.re/img/fitness-5.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/fitness-5.jpg	(from http://trystack.mediumra.re/home-fitness.html)
23:06:40	42792/42792	---M--	200	added ('OK')	image/jpeg	etag:1747ec0680c1bc8b9f2e19442fa7163d	http://trystack.mediumra.re/img/music-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/music-1.jpg	(from http://trystack.mediumra.re/home-musician.html)
23:06:44	135760/135760	---M--	200	added ('OK')	image/jpeg	etag:db97b7fef0dab4296c8b9390105617c9	http://trystack.mediumra.re/img/insurance-3.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/insurance-3.jpg	(from http://trystack.mediumra.re/home-health-insurance.html)
23:06:45	172/172	---M--	200	added ('OK')	text/css	etag:c3fbfc33311d5afcd5529cee359ffe37	http://trystack.mediumra.re/css/font-robotoslab.css	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/css/font-robotoslab.css	(from http://trystack.mediumra.re/home-nonprofit.html)
23:06:49	59452/59452	---M--	200	added ('OK')	image/jpeg	etag:0cebfdb582f769e13003a78fa3e9d197	http://trystack.mediumra.re/img/music-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/music-2.jpg	(from http://trystack.mediumra.re/home-musician.html)
23:06:54	26521/26521	---M--	200	added ('OK')	image/png	etag:a7781f66ff117ed64e3e4161a7ec54df	http://trystack.mediumra.re/img/headline-2.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/headline-2.png	(from http://trystack.mediumra.re/home-nonprofit.html)
23:06:55	149764/149764	---M--	200	added ('OK')	image/png	etag:afd75d2e354381d9e29788bc41372289	http://trystack.mediumra.re/img/avatar-large-2.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/avatar-large-2.png	(from http://trystack.mediumra.re/home-health-insurance.html)
23:07:00	126650/126650	---M--	200	added ('OK')	image/jpeg	etag:494536a621b0921ef2610c2f2eddcc9d	http://trystack.mediumra.re/img/music-3.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/music-3.jpg	(from http://trystack.mediumra.re/home-musician.html)
23:07:08	76126/76126	---M--	200	added ('OK')	image/jpeg	etag:c2c4de02db79ab6ad9ffb1a41061402c	http://trystack.mediumra.re/img/nonprofit-3.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/nonprofit-3.jpg	(from http://trystack.mediumra.re/home-nonprofit.html)
23:07:09	94762/94762	---M--	200	added ('OK')	image/jpeg	etag:ccba9f03aeabfcbcfe36750f25d8be2a	http://trystack.mediumra.re/img/nonprofit-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/nonprofit-2.jpg	(from http://trystack.mediumra.re/home-nonprofit.html)
23:07:12	171247/171247	---M--	200	added ('OK')	image/jpeg	etag:f964bfcd12db448b8edcbce6704cd178	http://trystack.mediumra.re/img/nonprofit-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/nonprofit-1.jpg	(from http://trystack.mediumra.re/home-nonprofit.html)
23:07:17	102581/102581	---M--	200	added ('OK')	image/jpeg	etag:c88e1e16f895884da44027c5af519b06	http://trystack.mediumra.re/img/nonprofit-4.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/nonprofit-4.jpg	(from http://trystack.mediumra.re/home-nonprofit.html)
23:07:23	91371/91371	---M--	200	added ('OK')	image/jpeg	etag:ef09cc148026ce7c06b981757a863fbe	http://trystack.mediumra.re/img/nonprofit-6.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/nonprofit-6.jpg	(from http://trystack.mediumra.re/home-nonprofit.html)
23:07:24	333/333	---M--	200	added ('OK')	text/css	etag:2f590fa2952662f48156689409b3a82a	http://trystack.mediumra.re/css/font-frankruhl-firasans.css	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/css/font-frankruhl-firasans.css	(from http://trystack.mediumra.re/home-restaurant.html)
23:07:29	123687/123687	---M--	200	added ('OK')	image/jpeg	etag:aaf7839e87a6dfe225bc0e70af8e66bf	http://trystack.mediumra.re/img/nonprofit-5.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/nonprofit-5.jpg	(from http://trystack.mediumra.re/home-nonprofit.html)
23:07:29	72783/72783	---M--	200	added ('OK')	image/jpeg	etag:4a7e524d2fcd7e877669d1f99fe58efb	http://trystack.mediumra.re/img/political-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/political-2.jpg	(from http://trystack.mediumra.re/home-political.html)
